,0
0,I think it was possible to replace the hydrolic pump and motor with torque converter?
1,Have a great week Gleaner Corporation.
2,Nee subscriber here. Sharing this video on both of my Facebook social media platforms. God bless Agco Corporation.
3,thank you very much
4,MARCONILIMA
5,Agco is dumb for discontinuing this combine. They can take the complicated ideal and shove it. We never asked for that behemoth.
6,The starting it not show on the dashboad .
7,Psi at injector?
8,Awesome work to improve our country Zambia in agri- sector by Agco the world agriculture expertise
9,Grew up around massy Ferguson 👌. Very reliable farming equipment.
10,Does anyone know if they make valtra A series here now?
11,Help to provide farm security
12,On my Massey Ferguson I’m getting a 261 hydraulic system fault code- can anyone assist with what this issue is?
13,Made Finland.
14,13 ans avec un massey ferguson 5460 et aucun probleme
15,تصميم مجمع لتجميع عبرحواسيب وروبوتات ويكون المجمع كبير وتخصيص اقسام مصانع في عدد ولايات اكثر من ٨مصنع
16,نحن بحاجة لماكينات صناعة الماكينات الديزل اليبانية لانها اقل كلفة وافضل من الامريكية وماكينات خراطة المانية
17,Bare soil is dying soil
18,Ese sistema hidraulico de cvt e bem.interecante e parece ser bem.duravel alem de nao.muito complexo e  manutencao.mais facil ...parabens
19,"I got a 1/32 Massey Ferguson 5455 with a front loader, this video gave me nice information about the tractor which i want to learn more about 😄"
20,Thank you for a clear and well worded explanation of the mechanism
21,Good stuff
22,Good work air
23,Hey man
24,how can this be possibble
25,Hey same voice from the gleaner road show vids 👍
26,MT665 How change from 1000 to 540 rpm PTO shaft and speed? Thank you
27,"I like see life long Massey Ferguson farmers one generation to the next . Same here grew up using Massey Ferguson tractors, dad had a lot of different models of Massey under the 100 horse power range. He had the 35 & 65 ,135 ,165 ,175, 255,275,285 ,365, 471, today I have a Massey 3070."
28,Great Job man. Awesome information
29,steck ma finger rein habibi
30,Where do you go in c2100 monitor
31,MF5465😎
32,Great comedy
33,"Let’s play a game, drink every time he says bale."
34,"In short, by allowing the ""loaded"" path of energy to be primarily transferred via the mechanical portion of the transmission, it cuts the losses associated with transferring power hydraulically. My question is, what maintains the integrity of the hydraulic circuit when the unit is in full lock, or full speed? Half of the output torque load is being converted to hydraulic pressure with zero flow in the system... so how are they managing these pressures and the inherent temperature rise without flow?"
35,Im just waiting for someone to make a Baler lore video
36,Best meter ever build!!!!!!
37,Oops....that first marriage that she's bragging about bit the dust years ago.  Fail!
38,The real question is whether I can find this in farming simulator 19
39,*Baler lore*
40,"This is so comforting to see, all will be okay, bales are being made"
41,*baler lore*
42,I'm in that weird part of YouTube again
43,Sounds an awful lot like a turbo encabulator.
44,Harkh
45,Bale lore
46,Wait till China tells us they don’t need us any more.
47,Always wondered how they worked. Now i know
48,"Refreshingly simple, I thought this was a parallel rev-matching adder system like Mitsubishi defense uses in their Hitomaru tank.  Very cool"
49,Farming Simulator 2087.
50,FS19 brought me here...
51,It think it needs a new name as cvt has so bad rep from cars. Great looking system.
52,Ale chujnia
53,@Wane Boysun Sorry we couldn't answer your question directly. The biggest gain you're going to get in your new S97 will be reliability. There have been many updates to keep you in the field longer and dependably. The flights should help in keeping the crop flow through the rotor even and consistent. That should help in keeping the grain in the processor and your fuel usage lower. Thanks for sticking with Gleaner!
54,"But the driver still has to stop , while wrapping is completed ?  I am guessing ?"
55,Old JB Boehm wouldn't approve of an electric wrapper.
56,So to make mini-wheats they just have a miniature baler….
57,Huh in recommendation.
58,haybale lore
59,Simple enough!
60,Sisu Power alta qualidade 🙂🙂👍👍
61,"I love my 1840. Eight seasons and never missed a tie. Only problems, the machine is hard to grease and the covers make it hard to do maintenance."
62,Question when is this coming to the USA again we would all love to see valtras in the USA
63,I wonder how durable the belt is.
64,work with you
65,Post please
66,Hello
67,Idk axial flow has been around since the 70s so I'm pretty sure it's doing something right if it's been around for that long
68,amogus
69,And where does a person find a damn training video on how to use this transmission.
70,Massey ferguson Beautiful
71,Massey ferguson Very good
72,I LOVE technology!🤩🙏
73,Will this work on engines with 135 HP ?
74,Usine de fachoo. 3 arabe un noire sur 2000 personne. Je l jure
75,Only a few years later they dump Perkins for Sisu three cylinder engines and have inboard planetary reductions on the back axle on their mainly Chinese built Global Series. These and the new ones are good tractors though and there is no need to embellish them with bullshit on top.
76,So basically its a fancy hydrostatic unit!
77,Tu en fais de la belle pub pour Massey ma jolie mais tu as raison bon matériel continue
78,why is this recommended 8 years later
79,How to install the meter on my manual ha.d push seeder
80,Came here right from a video about a guy losing his foot in a baler...
81,"John Deere has a return pan so all grain is dumped onto the front of the shoe. Case ih the back of the rotor is the front of the shoe. Everything is on the active grain pan, there’s no risk of it being near the back when it’s threshed."
82,Qual o significado da sigla AGCO
83,Nothing eats wheat like a Gleaner.
84,Somebody should show current Agco management this video!!
85,I feel bad for George. At least he has a sweet tractor
86,Tengo un ploblema con la 1254 no abre las llantas
87,You agco owe me a commission for helping you. Of itleast. 3illion.  Send donation to key bank portlandaine  under mark s hapsis Jesus Christ word. Savings account
88,just the same with the toyota prius  ecvt but because the toyota patented the planetary gearset controlled by electric motor  this guy made it with hidrolic..actualy way worse solution
89,Can you explain what's going on with the hydraulic pumps physically pivoting side-to-side? I don't understand that part of the CVT's operation.
90,The same intro music as The Onion News Channel :D
91,"Hi, I am Graeme John Eddington. Following is my Youtube post of my Multi-speed transmission I have called: ""Opposing Torque Dynamic Clutch"" which is a type of Infinitely Variable Transmission (IVT) which I believe is ideal for your current applications. Please log on to my Youtube video: https://www.youtube.com/watch?v=SACDK89U7PM"
92,"Has anyone any experience with Massey Ferguson fieldstar 9895 header, and cutting height set up? I desperately need help! Thank you!"
93,Esse trator é motor MAN
94,"How does it improve over the phone ?
A phone can do almost all that.
The only difference is its omnipresence. But not everyone wants that anyways. :-/
Good when your hands are already full."
95,;-) neat vid.
96,How many price Kitne hp ka tractor chihiye isko chalane ke liye
97,Now I just need to win the lottery so I could actually afford one 🤣
98,Will agco ever take over NEW HOLLAND
99,Anyone wanna play farming simulator 19 with me on xbox?
100,"Want to buy L100 Loader for this 1532 model.  Need 100%  all lines, brackets, bucket and loader.  706-825-7180"
101,That's nice and all but the farmer is still driving forward so during the wrapping and ejecting new hay will be flowing into this unit. I guess I need to watch a real video of a farmer. Maybe they stop and allow this part of the process to happen. I bet this bail preserves a lot more of the leaves than the plunger square bail method.
102,I like the idea of soil bar to contain soil and the support/closing wheel holds the depth. Running on a fairly smooth surface and not trash.
103,My favorite tractor to run we have is the Massey 7480 with dyno step. But that is when she runs. I have never had so many problems with one tractor.  Or put so much money in repair bills. The good thing is that dealer always make sure to lend us a tractor when our dealer’s words “life time tractor”  broke down. I didn’t think it would be “a lifetime tractor” of having it in the shop almost every other year in the busy time of the year. Computer problems seemed to be half of it. You mean man up and pay repair bills!!!
104,https://soundcloud.com/wallaustudium/agco-projeto-pescar-sept?in=wallaustudium/sets/trilhas
105,Very good video thanks for uploading
106,Good day were can buy parts to hesston?
107,#agcocorp
108,No no best Mc Hale
109,How do you adjust the volume of the bale full alarm?
110,How do I put on the mower deck I forget
111,So basically a copy of a deere baler
112,"Had a hesston 4655... Put probably 2 million bales through it with very few problems. Replaced it with a massey 1841 four years ago... As soon as warranty was up, became a pile of garbage. Have had to either work on it or have service guys out EVERY SINGLE time I've used it. Don't waste your time or money"
113,Thank you this is SOOO simple and elegant as to have gobsmacked me....
114,they look stupid and invade your privacy
115,I love that design just don't have any rear hydraulic outlets left on my tractor the loader is plugged in to them
116,Can I get a four row shipped to kenya
117,Hi will it do hemp seed
118,Got this from reddit on a post about a Fox getting caught in a bail (a terrible death if you ask me) ......poor guy...
119,Massey
120,EDITH
121,Googles epic failure
122,what do all of the pedals do
123,"Hi
My massey ferguson 8260
Not go forward or back
I need help"
124,"o shoot this was 2015?
fuck"
125,Kto od Korbanka ?
126,Love my Masseys !!!
127,Forgot this existed
128,Walmart combine LOL
129,He was Mr. Gleaner......
130,🤖 1:24
131,NIce baler.
132,Wow nice demo
133,"Is this located at Changzhou, Jiangsu?"
134,0:42 Super
135,how many hp tractor is required
136,MF best tractor in the world
137,"OMG a Planetary gear set controlled by Fluid slip?
So.... its a torque converter and Planetary Gear set. 

with the torque converter connected the ring gear and the engine connected to the torque converter and the sun gear. 
ALL you have done here. is add needless complexity to a simple as HELL system. what is wrong with you?"
138,"Impressive tour!  I appreciated their shop floor documentation evolution, from paper to monitors to tablets to glasses.  The right information to the right people at the right time!  If you get a chance to tour, take it."
139,What horsepower minimum to pull
140,Put def tank heater hoses wrong on 2018 MF 4710 global series. Code e16 3031- 5 minutes after operation of brand new tractor. What quality control??
141,ਗੁਰੂ ਹੈ
142,How large of tractor is needed to run it?
143,Ole mate is a bit out with his axial flow diagram.
144,Hi ETHAN
145,Hi cole
146,1st comment
147,hi
148,Mf is best tractor
149,The cab needs updating dated at this stage.
150,"It beggars belief that people are still ignoring the basic common sense safeguards which exist to protect them from a needlessly premature and horrible death!

It's popular to mock H&S as overly intrusive, but the H&S Legislation may as well have been written in the blood of the broken bodies of the Operators that ignored it and needlessly died a horrible death! 

YT has numerous videos of car drivers and passengers being violently ejected from their cars and struck by and/or run over by other vehicles. 

Operators tend not to get ejected, but invariably their machine rolls over on them with horrific consequences. 

Taking the few seconds it takes to ensure that the ROPS is operational and that your seat belt is correctly fitted literally is a life or death choice, or perhaps you'd rather wait till the shock of someone you know dying because he ignored these basic safeguards is what it'll take to spur you on! 

Or, perhaps someone that knows you will hear about you dying because you ignored these basic steps, and it'll act as a spur to them."
151,Hi! What`s the differences between models MT800A MT800B MT800E
152,Is this any good?
153,Gente que saudade desses momentos 😔
154,eles nunca dão preço
155,This looks Very nice!
156,"Then why don't you send massy combines out with the ""natural flow""..... not knockin gleaner but in greem stemed soy beans our 9770 deere with an F35 will out run my brother in laws class 9 gleaner with same size cut, while maintaining less damage and loss!? Also figure the surface area of the rotor not just the width, not much of a pinch point."
157,Great video! Contact us to partner in connecting the hay & forage industry! :)
158,"Nice factory which seems to have highly skilled workforce. But, where do the raw materials for production come from? Where are these tractors marketed? Which country is the main buyer of these tractors? How many units per year are sold in China?"
159,A bit more about forming belts and a bit less about the kicker would be a better video in the same amount of time. Also unclear how the wrap is interacting with the belts.
160,Which software are you use for making this video?
161,Old Buddy George done get his self into a pickle
162,"How many cost your square pillar please send me detail on 6388759252,veersinghyadav1363@1363"
163,Ok very well but i want to see at work now ...i am french .
164,Hydrostatic removes all the gears!
165,India available?
166,I don´t speak inglêns :(
167,https://www.youtube.com/watch?v=r1tEoDRHAZw
168,Sweet. Thanks heaps. :D
169,Best
170,"Great improvement, I hope more people use this mechanism!"
171,"how can l make a purchase ? how can l talk to you guys . my email is tondeykabee@gmail.com
 or whatsapp on 0783239035"
172,How much is your training? How does one apply?
173,I was playing FS14 and I wanted to know how the baler works
174,"Hi There is a topcon Precision Agriculture system in the Massey 8650 tractor I am driving. Just shows Topcon on the screen. The unit on the roof has power, the function stat is blinking. Thoughts?"
175,Não precisa excluir e sim ver a melhor situação onde o deficiente se insere. Parabéns.
176,dvalgav
177,benefits to a normal press...roundbaler pickup..no prepare time for pressing..half a meter smaller wide and normal and better formed bales-like a ihc-press...in china halfprice and easy working..
178,"The reason I wanted to get a Massey Ferguson tractor was due to having learned to drive one as my first in 1965 as a teenager. When I was looking around for a tractor in 2002 I could not find a dealership in my area as the last one closed their business. It was the same with the Case. John Deere was the only tractors which was being sold in my area so I purchased one from them, and now have a new one from that dealership."
179,Is there any machining of components or are they shipped in from France?
180,Wich engine there in now?
181,I wonder how powerful that hydraulic pump and motor must be
182,Fendt 💪💪💪💪
183,Современный ременной пресс
184,Im only here because of Farming Simulator 17 lol
185,Can someone donate any kind of tractor to me I am tired dreaming of owning one since long
186,"we;ve had a new holland one for 9 years, and this video explained it way better than my dad or grandpa ever did."
187,I’m wondering what make and model is the tractor
188,"Maybe the small tractors are ok, but I bought a 4610 and it was garbage, no one could keep it running and agco people are garbage and the will not stand behind their equipment and are rude and will screw you without a thought. Never buy their garbage. Made in Japan by a company called Iseki."
189,"I clicked this and after 2mins just thought: 
""Wow this is a weird meme..."""
190,*_SUBUJCIE_* *_WARTO_* -*_https://youtu.be/lk8YxHPGATg_*
191,i learned more than i did all school year
192,How to calibrate front suspension?
193,Does this AGCO's Electronic Diagnostic Tool works on john deere and fendt tractors?
194,Think Like A Horse brought me here :))
195,Youtube recommended anyone?
196,I have an essay I should be writing
197,I am from nyc and never seen this done. I found it very interesting thank you
198,Muito bom... também tenho produtos AGCO!!!!
199,Lovely piece of design
200,Nice to see the new line of balers. But I am trying to find the gathering wheels and arms and the bracket for a 540 hesston round baler. The dealer says that they can not get them. Why
201,Price kina
202,Just like sisu engines are now agco power
203,Agco has come a long way
204,"Just do this, it is simpler https://www.youtube.com/watch?v=MTeJWE_Ou0g"
205,Very good explanation
206,att
207,"hi
i have valtra T202 versu tractor , i edited isoAD hardware id  with agco edt (electronic diagnostic tool), and now it can't connect to bus control. i forget changed  isoAD id , and therefore write randomly id in for  isoAD , with this work Unfortunately i deleted another module id, i requested help from my frind , and he can recovey id , from .bin file that you can see in attachment, but tractor cant connet to IsoAD hardware, my frind guess is , sowftware IC of isoAD is deleted,  
i am from iran , and any company dont answer to me,
please help to me🙏
i have teamviewer in my pc, can you connect to my pc and mod
ify this?
i dont find any person in iran that can help to me, and my tarctor dont work. 😞
can you give me your mail to me, that i send to you Documentation?
my mail is: izadi.pc@gmail.com
Thank you very much"
208,cuanto cuesta
209,How does it handle rocky soils?
210,I like the video
211,"Great people,led by great leaders. Hope 4 years life in China gave you an great and and indelible experience. Feel touched by this video."
212,Go massy
213,"May

Zambia is progress


Good job"
214,Leading the way.
215,"If anyone here plays Farming Simulator 19, you'll get to test drive this combine virtually"
216,This sunflower is sold in Europe?
217,Will it be at the farm progress show  this year
218,I know for a matter of fact!MF. is cheaper on fuel to operate.They are just nice to run.
219,I had the privilege to meet him. What an amazing person! You will forever stay in my heart!
220,Will you guys every make Massey 4wd articulated tractors again?
221,Can’t wait to see this combine in actuation!!
222,Best song to play in harvest when your in your massey ferguson 🚜 ❤️
223,very nice..
224,i would buy it iff it was built in bannerlane with a perkins engine
225,What about the 4000 series that AGCO and North Pine motors  have totally disowned
226,"Although fendt, Valtra, massey Ferguson and challenger isn't my favourite brands, i do have challenger, Massey Ferguson and fendt is on my top five list and I don't know how good your seeders are but as a future farmer in Sweden i can test them and I can also test a challenger with tracks. I do need to get a drivning licence first before i can get a demo of one though ;)"
227,"OLD MECHANISM, ANACRONIC, PROBLEMATIC.More of the same.
After more than 10 years, it is the same ...."
228,"I owned several Massey Ferguson farm tractors, and they are the best, cheap on fuel."
229,"Genial - www.tractorpasion.com
suscribete a nuestro canal 
https://www.youtube.com/watch?v=v8jPjw3jZX0"
230,muy buenos 🚜
231,Leading the way
232,I buy gc
233,"good networking, credibility, inspiration, education performance for  precision farming  in Kenya 2018"
234,https://youtu.be/b2Ey9BCjeho check out the link above.... Best AGCO review out!
235,https://youtu.be/b2Ey9BCjeho check out the link above and see how they treat customers
236,"https://youtu.be/b2Ey9BCjeho this is how AGCO treats customers, why don't they give this man a Merry Christmas and replace his faulty Tractor."
237,i don't think that this device will results in an infinitely variable torque since the gear ratio is fixed between input and output shaft in all conditions>> it should be in a way that torque and speed is adapted with the load on the output shaft
238,Cool
239,Thank-You very much! Merry Christmas and a Happy New Year to everyone at AGCO as well!! Awesome video!!
240,"Its neat, but with no aeration its useless for most farmers since long term storage and grain management is basically impossible."
241,Very nice video!!
242,No audio?
243,Are all Massey Tractors built here?
244,Leading the way!
245,Grande agco👏👏👏
246,it's called a hydrostatic transmission.
247,I need the English version
248,Lame
249,"Booooo 😅😅
Good video ❤️👍"
250,"He tries to make the axial flow design look worse by making the opening to the rotor really skinny. The feeder opening is 50-55 inches and the rotor opening is 27-33 inches. That it more than half the size of the feeder opening. 

What he doesn’t tell you is that when using natural flow, you replant your field behind the combine."
251,Das ist geil seit ihr auch in Hannover zur Agritechnika 2017
252,"Cooles Video, voll gruselig irgendwie, wo war das?"
253,Very Cool!
254,One of the greatest product from the Jackson facility is the tracked tractor. However in the video a wheel tractor from the competition is shown on the glass under its name.
255,Bitte auf Deutsch!
256,好看
257,Exelent
258,Awesome
259,Love this
260,I love massy.nd 4000 acer wow
261,magnifique <3 <3 <3
262,Aka magic
263,"I am thinking about trading my jd for your baler, the JD is extremely dependable but is not consistent on bale shape, but if I understand your advertisement there is no banana bales reguardless of windrow size, is this correct?"
264,I love you you are my fever was on and I feel either you I am sure other him around from Pakistan and Sheila Ryan Barbara so bad
265,your Massey Ferguson tractors best IIM Pakistan if you are the
266,The Crop Tour was great! Thank You to all involved! It was a great learning experience. Every producer should have taken time to learn!
267,"Good job Massey, MF has also been making good achievements"
268,"We own a Massey Ferguson HD 2660 and the Tach does not work. It does not show engine speed, engine hours or the speed of the PTO. I have asked several dealers and know dealer has ever had that problem. I was told just buy a new Tach. and that will take care of it. Well I do I know buying a new $500.00 Tach will take care of the problem. No dealer has ever offered to check my problem or tell me what I need to check. We have owned Massey Ferguson tractors since they were painted gray and were called Ferguson. The oldest tractor we did own was a 1956 Ferguson. Since then we bought a new 135 Deluxe Multipower diesel and we bought a MF 175 with the multipower. This problem if not repaired is going to cause us to buy another brand of tractor very shortly. We had one problem with it when it was brand new. The hydraulic filter was stopped up with metal cuttings. We were shocked when we drained the transmission oil and the drain plug had chunks of metal stuck to it. We had to change the hygralic oil twice( you know that isn't cheap) and the oil filters twice. That is the 1st. time we had ever seen that out of a new tractor. The company didn't pay for the oil or the filters. So the Tach that doesn't work is the final straw......I think the company should pay for the oil and filters and repair the Tach. Enough is enough.....If the tach isn't repaired free that will be the last Massey we own. We even own a Massey Ferguson 2400 lawn tractor with a front end loader mounted on it. By the way the Tach. quit working on it and the cruise control never did work. I hope your MF equipment works without all the problems we have......Larry Bleigh  Phone 3o4 742 3129.............."
269,The CHALLENGER 1000 series are such beautiful tractors!
270,Will you guys ever make a articulated Massey Ferguson tractor?
271,i use to live on a farm and we had to tear bales apart for cows and it was very hard
272,Massey ferguson has been the best trater brand I've used in my life and
273,WOW...that is truly an Amazing and High Tech Factory. Proud to be an Massey Ferguson Dealer. Many don't understand the doors that have been opened by this factory. I've read where it allows AGCO to be a more competitive supplier of Farm Machinery to the emerging China Market. Chinese Farmers want the same benefits AGCO customers have been enjoying around the world and now allows AGCO to import products from all their other factories and be competitive in China. Maybe those Changzhou Factory Workers are enjoying Made in the USA Beef since they have great wage paying jobs. Just like any factory AGCO owns they 100% control of what goes in and 100% control of what comes out of those factories. GREAT VIDEO!!!
274,"I don't know about the full AGCO line, but I've been using Heston/Massey Ferguson products for the last 20 years. They still make a product that works it's just the reliability of certain systems of the product lack quality control, prep, infrastructure ie. hydraulic and electrical line routing and shielding. assembly and tourque ratings of fasteners. Quality of the metal has reduced in recent years whether it's the supplier or trying to trade quality for margins and quarterly earnings. Although, I keep purchasing the equipment you sling.......... shame on me!"
275,And it looked like the employees were wearing Apple Watches!
276,What are the horsepower requirements
277,Final CVT SRS-LS4S B6 (LS5000)- SUPER TRANSMISSION MADE IN RUSSIA
278,give Gomer a break.... -thats as close as he's gonna get to a pretty girl ......
279,Good looking machine
280,Thanks for the walk around Larry!
281,"Nothing run like a Deer when chased by a Massey ; )

Still using a 1958 Massey 65 gas tractor"
282,2015 @ 480p ... AGCO plz ...
283,1.04 this is destructor?
284,The level of mechanical engineering required for this is intense
285,Lower pump gear never reversed. 
286,Bring back orange tractors
287,Love that tractor!  Thanks!
288,FOCK YOU XD
289,Unbelievable work horse
290,"Maybe I'll get one in 30 years, dairy farmers can't afford new tractors lol"
291,Tor blind they are everywhere
292,I always see yellow challenger tractors I was thinking they are cat tractors
293,Where are there bio mass receiving locations in the Usa?
294,Great explanation of how the whole process works.  Thanks for sharing.
295,hola necesitaria saber si ustedes proven esta herramienta y q costo tiene? muchas gracias
296,We run all colours of iron and absoloutely love out new masseys !!!
297,If the upside down linkage rams are such a good idea why are they the opposite way on our 5610?
298,Four times the speed of gravity?  Really?
299,"Given the subsidized and still low price of grain crops and the issue of erosion and the danger, why would anybody farm there?"
300,"Olá, gostaria de uma informação! Lá na granja temos um MF 8670 Dyna-VT com o GPS Topcon System 150, o ""amarelinho"" como dizem alguns, e recentemente ele tinha dado alguns problemas em andar em zigue-zague na linha, pedimos ajuda a concessionária e o problema foi resolvido, porém, esses dias eu estava trabalhando nele e o trator desalinhou completamente da linha, saia em diagonal, e não importava o quê eu fizesse ele não alinhava mais. Desliguei o trator, reiniciei o GPS e o problema persistia, ai eu fiz a calibragem do ângulo de roda, a calibragem foi feita com sucesso, mas passado alguns segundos ele perdia a calibragem, como se não conseguisse salvar o processo. Eu posso fazer algo a respeito ou devo chamar a concessionária novamente? Obrigado."
301,As sa
302,"I see myself in the video, haha~"
303,Excellent video
304,"R.I.P. Kevin Bien, great colleague. gone but not forgotten..."
305,cool la video
306,He was a great man and will be very difficult to replace at Gleaner.
307,My question is; can I put these 1840 twine boxes on my 1837? I hate running out of string halfway through the day.
