,Positive,Neutral,Negative,Compound
0,0.0,1.0,0.0,0.0
1,0.0,1.0,0.0,0.0
2,0.451,0.549,0.0,0.6249
3,0.339,0.661,0.0,0.7717
4,0.455,0.545,0.0,0.3612
5,0.0,1.0,0.0,0.0
6,0.127,0.749,0.124,0.0258
7,0.0,1.0,0.0,0.0
8,0.0,1.0,0.0,0.0
9,0.333,0.667,0.0,0.7906
10,0.405,0.595,0.0,0.7297
11,0.0,1.0,0.0,0.0
12,0.63,0.37,0.0,0.6249
13,0.0,0.876,0.124,-0.4019
14,0.0,1.0,0.0,0.0
15,0.0,1.0,0.0,0.0
16,0.0,1.0,0.0,0.0
17,0.0,1.0,0.0,0.0
18,0.0,1.0,0.0,0.0
19,0.0,1.0,0.0,0.0
20,0.261,0.739,0.0,0.835
21,0.444,0.556,0.0,0.7351
22,0.744,0.256,0.0,0.4404
23,0.592,0.408,0.0,0.4404
24,0.0,1.0,0.0,0.0
25,0.0,1.0,0.0,0.0
26,0.0,1.0,0.0,0.0
27,0.161,0.839,0.0,0.3612
28,0.044,0.956,0.0,0.3612
29,0.732,0.268,0.0,0.8481
30,0.0,1.0,0.0,0.0
31,0.0,1.0,0.0,0.0
32,0.429,0.571,0.0,0.4588
33,1.0,0.0,0.0,0.765
34,0.211,0.789,0.0,0.34
35,0.052,0.84,0.108,-0.6199
36,0.0,1.0,0.0,0.0
37,0.641,0.359,0.0,0.7482
38,0.0,0.76,0.24,-0.5848
39,0.0,1.0,0.0,0.0
40,0.0,1.0,0.0,0.0
41,0.31,0.69,0.0,0.6588
42,0.0,1.0,0.0,0.0
43,0.0,0.805,0.195,-0.1779
44,0.217,0.522,0.261,-0.128
45,0.0,1.0,0.0,0.0
46,0.0,1.0,0.0,0.0
47,0.0,1.0,0.0,0.0
48,0.0,1.0,0.0,0.0
49,0.268,0.732,0.0,0.6801
50,0.0,1.0,0.0,0.0
51,0.0,1.0,0.0,0.0
52,0.167,0.651,0.183,-0.1005
53,0.0,1.0,0.0,0.0
54,0.147,0.81,0.043,0.8588
55,0.0,0.835,0.165,-0.4871
56,0.0,1.0,0.0,0.0
57,0.0,1.0,0.0,0.0
58,0.0,1.0,0.0,0.0
59,0.0,1.0,0.0,0.0
60,0.0,1.0,0.0,0.0
61,0.311,0.689,0.0,0.6613
62,0.176,0.665,0.159,0.3794
63,0.189,0.811,0.0,0.6369
64,0.0,1.0,0.0,0.0
65,0.0,1.0,0.0,0.0
66,0.697,0.303,0.0,0.3182
67,0.0,1.0,0.0,0.0
68,0.212,0.738,0.049,0.6851
69,0.0,1.0,0.0,0.0
70,0.0,0.847,0.153,-0.4019
71,0.661,0.339,0.0,0.5994
72,0.516,0.484,0.0,0.4927
73,0.511,0.489,0.0,0.7371
74,0.0,1.0,0.0,0.0
75,0.2,0.8,0.0,0.4588
76,0.081,0.772,0.148,-0.5994
77,0.0,1.0,0.0,0.0
78,0.0,1.0,0.0,0.0
79,0.25,0.75,0.0,0.25
80,0.0,1.0,0.0,0.0
81,0.0,0.843,0.157,-0.3818
82,0.085,0.864,0.051,0.2057
83,0.0,1.0,0.0,0.0
84,0.0,0.703,0.297,-0.2755
85,0.0,1.0,0.0,0.0
86,0.182,0.606,0.212,-0.128
87,0.0,0.804,0.196,-0.296
88,0.078,0.922,0.0,0.296
89,0.087,0.792,0.122,-0.296
90,0.0,1.0,0.0,0.0
91,0.309,0.691,0.0,0.6166
92,0.156,0.844,0.0,0.8074
93,0.215,0.632,0.153,0.3987
94,0.0,1.0,0.0,0.0
95,0.293,0.707,0.0,0.4404
96,0.0,1.0,0.0,0.0
97,0.0,0.811,0.189,-0.4215
98,0.326,0.674,0.0,0.4404
99,0.833,0.167,0.0,0.6124
100,0.0,1.0,0.0,0.0
101,0.292,0.708,0.0,0.7906
102,0.0,1.0,0.0,0.0
103,0.211,0.789,0.0,0.34
104,0.071,0.929,0.0,0.0772
105,0.048,0.911,0.04,-0.1154
106,0.091,0.909,0.0,0.3612
107,0.074,0.81,0.116,-0.709
108,0.0,1.0,0.0,0.0
109,0.614,0.386,0.0,0.7474
110,0.293,0.707,0.0,0.4404
111,0.0,1.0,0.0,0.0
112,0.229,0.363,0.408,-0.357
113,0.0,0.806,0.194,-0.34
114,0.0,0.826,0.174,-0.2263
115,0.0,1.0,0.0,0.0
116,0.037,0.915,0.048,-0.1646
117,0.337,0.663,0.0,0.6808
118,0.0,0.638,0.362,-0.5267
119,0.167,0.833,0.0,0.6369
120,0.0,1.0,0.0,0.0
121,0.0,1.0,0.0,0.0
122,0.0,0.675,0.325,-0.8779
123,0.0,1.0,0.0,0.0
124,0.0,1.0,0.0,0.0
125,0.0,0.377,0.623,-0.5106
126,0.0,1.0,0.0,0.0
127,0.0,1.0,0.0,0.0
128,0.0,1.0,0.0,0.0
129,0.0,1.0,0.0,0.0
130,0.574,0.426,0.0,0.4019
131,0.0,0.625,0.375,-0.34
132,0.0,0.0,1.0,-0.5423
133,0.0,1.0,0.0,0.0
134,0.629,0.371,0.0,0.7249
135,0.0,1.0,0.0,0.0
136,0.639,0.361,0.0,0.5473
137,0.0,1.0,0.0,0.0
138,0.0,1.0,0.0,0.0
139,0.737,0.263,0.0,0.4215
140,0.868,0.132,0.0,0.765
141,0.0,1.0,0.0,0.0
142,0.796,0.204,0.0,0.5994
143,0.0,1.0,0.0,0.0
144,0.457,0.543,0.0,0.6369
145,0.0,1.0,0.0,0.0
146,0.0,1.0,0.0,0.0
147,0.0,0.0,0.0,0.0
148,0.0,1.0,0.0,0.0
149,0.0,0.681,0.319,-0.8567
150,0.213,0.787,0.0,0.8475
151,0.0,1.0,0.0,0.0
152,0.0,0.878,0.122,-0.5362
153,0.0,1.0,0.0,0.0
154,0.0,1.0,0.0,0.0
155,0.0,1.0,0.0,0.0
156,0.0,1.0,0.0,0.0
157,0.0,1.0,0.0,0.0
158,0.0,1.0,0.0,0.0
159,0.0,1.0,0.0,0.0
160,0.583,0.417,0.0,0.6369
161,0.0,1.0,0.0,0.0
162,0.141,0.565,0.294,-0.75
163,0.0,0.0,0.0,0.0
164,0.055,0.479,0.466,-0.971
165,0.0,0.0,0.0,0.0
166,0.0,0.791,0.209,-0.7003
167,0.0,0.0,0.0,0.0
168,0.0,0.621,0.379,-0.7964
169,0.0,0.0,0.0,0.0
170,0.076,0.76,0.164,-0.4199
171,0.0,0.0,0.0,0.0
172,0.0,0.909,0.091,-0.3182
173,0.0,1.0,0.0,0.0
174,0.492,0.508,0.0,0.4404
175,0.178,0.822,0.0,0.0772
176,0.0,1.0,0.0,0.0
177,0.53,0.47,0.0,0.5244
178,0.024,0.846,0.13,-0.8228
179,0.39,0.61,0.0,0.8264
180,0.065,0.935,0.0,0.4329
181,0.079,0.867,0.054,0.2263
182,0.0,1.0,0.0,0.0
183,0.0,1.0,0.0,0.0
184,0.173,0.827,0.0,0.3182
185,0.283,0.717,0.0,0.4111
186,0.0,1.0,0.0,0.0
187,0.0,1.0,0.0,0.0
188,0.0,0.58,0.42,-0.4404
189,0.0,1.0,0.0,0.0
190,0.909,0.091,0.0,0.873
191,1.0,0.0,0.0,0.6369
192,0.632,0.368,0.0,0.8832
193,0.261,0.739,0.0,0.7184
194,0.0,1.0,0.0,0.0
195,0.0,1.0,0.0,0.0
196,0.13,0.87,0.0,0.2023
197,0.0,1.0,0.0,0.0
198,0.0,1.0,0.0,0.0
199,0.0,1.0,0.0,0.0
200,0.259,0.741,0.0,0.8126
201,0.0,1.0,0.0,0.0
202,0.0,1.0,0.0,0.0
203,0.0,1.0,0.0,0.0
204,0.219,0.781,0.0,0.4215
205,0.0,1.0,0.0,0.0
206,0.0,1.0,0.0,0.0
207,0.259,0.741,0.0,0.4215
208,0.0,0.854,0.146,-0.4404
209,0.116,0.884,0.0,0.4404
210,0.0,1.0,0.0,0.0
211,0.0,0.863,0.137,-0.8126
212,0.0,1.0,0.0,0.0
213,0.4,0.421,0.179,0.4767
214,0.0,1.0,0.0,0.0
215,0.0,1.0,0.0,0.0
216,0.0,1.0,0.0,0.0
217,0.0,1.0,0.0,0.0
218,0.263,0.737,0.0,0.3612
219,0.474,0.526,0.0,0.2023
220,0.0,1.0,0.0,0.0
221,0.292,0.708,0.0,0.6976
222,0.0,1.0,0.0,0.0
223,0.559,0.441,0.0,0.5859
224,0.049,0.951,0.0,0.2263
225,0.0,1.0,0.0,0.0
226,0.263,0.737,0.0,0.3612
227,0.0,1.0,0.0,0.0
228,0.0,1.0,0.0,0.0
229,0.615,0.385,0.0,0.4927
230,0.0,1.0,0.0,0.0
231,0.0,1.0,0.0,0.0
232,0.04,0.923,0.037,0.0772
233,0.0,1.0,0.0,0.0
234,0.556,0.444,0.0,0.6124
235,0.0,1.0,0.0,0.0
236,0.0,1.0,0.0,0.0
237,0.299,0.701,0.0,0.3724
238,0.0,1.0,0.0,0.0
239,0.0,1.0,0.0,0.0
240,0.455,0.545,0.0,0.3612
241,0.0,1.0,0.0,0.0
242,0.0,1.0,0.0,0.0
243,0.455,0.545,0.0,0.3612
244,0.432,0.568,0.0,0.9451
245,0.0,1.0,0.0,0.0
246,0.0,1.0,0.0,0.0
247,0.0,0.0,0.0,0.0
248,0.583,0.417,0.0,0.4215
249,0.0,0.0,0.0,0.0
250,0.0,0.0,0.0,0.0
251,0.744,0.256,0.0,0.4404
252,0.0,1.0,0.0,0.0
253,0.125,0.875,0.0,0.25
254,0.0,1.0,0.0,0.0
255,0.237,0.763,0.0,0.4215
256,0.208,0.792,0.0,0.4926
257,0.425,0.575,0.0,0.9018
258,0.0,1.0,0.0,0.0
259,0.0,1.0,0.0,0.0
260,0.337,0.663,0.0,0.765
261,0.756,0.244,0.0,0.4754
262,0.0,1.0,0.0,0.0
263,0.0,1.0,0.0,0.0
264,0.075,0.902,0.023,0.2375
265,0.0,1.0,0.0,0.0
266,0.0,1.0,0.0,0.0
267,0.231,0.769,0.0,0.6369
268,0.583,0.417,0.0,0.4215
269,0.0,1.0,0.0,0.0
270,0.0,1.0,0.0,0.0
271,0.0,1.0,0.0,0.0
272,0.0,1.0,0.0,0.0
273,0.0,1.0,0.0,0.0
274,0.387,0.613,0.0,0.743
275,0.333,0.667,0.0,0.6696
276,0.197,0.803,0.0,0.4019
277,0.141,0.766,0.093,0.296
278,0.0,1.0,0.0,0.0
279,1.0,0.0,0.0,0.3182
280,0.515,0.485,0.0,0.9418
281,0.075,0.679,0.245,-0.6705
282,0.648,0.352,0.0,0.5686
283,0.0,0.312,0.688,-0.296
284,0.0,1.0,0.0,0.0
285,0.0,1.0,0.0,0.0
286,0.0,1.0,0.0,0.0
287,0.0,1.0,0.0,0.0
288,0.0,1.0,0.0,0.0
289,0.0,0.0,1.0,-0.4215
290,0.417,0.583,0.0,0.6124
291,0.367,0.633,0.0,0.4404
292,0.0,0.931,0.069,-0.4767
