Channel_name,Channel_id,Subscribers,Views,Total_videos,playlist_id
General Motors,UCxN-Csvy_9sveql5HJviDjA,36500,1815216,160,UUxN-Csvy_9sveql5HJviDjA
Foton Motor,UCIiMalpdX9hQhDGuWMiMKaQ,1570,244774,127,UUIiMalpdX9hQhDGuWMiMKaQ
Great Wall Motor,UCs5oqkMf9GqH4Lui1rbM-HA,523,94735,101,UUs5oqkMf9GqH4Lui1rbM-HA
Kubota Tractor Corporation,UC6yhm9rO304Qq6kmukrh8pw,25100,7985175,216,UU6yhm9rO304Qq6kmukrh8pw
Arctic Cat,UCZNvqiGznGApSxsVHxw9hrA,18200,6652943,369,UUZNvqiGznGApSxsVHxw9hrA
AGCO Corporation,UCvUbaC8BjzIGIIzI3gGq5BA,22000,8022696,836,UUvUbaC8BjzIGIIzI3gGq5BA
Cat® Products,UC-cPWz8Fwk5vdWS-nwW4GSQ,261000,151447936,4773,UU-cPWz8Fwk5vdWS-nwW4GSQ
DAF Trucks NV,UCYpTG2hNwR9_NQxnOuf7Azg,25700,23446817,1469,UUYpTG2hNwR9_NQxnOuf7Azg
"Chongqing Hualun Hongli Industrial Co., Ltd",UCE8x5L_cMeSsYHRzsKfwi4Q,1,224,11,UUE8x5L_cMeSsYHRzsKfwi4Q
Briggs & Stratton,UCno5fwrWZA0faCnbED0bfgg,22800,15169314,672,UUno5fwrWZA0faCnbED0bfgg
Ashok Leyland,UCcsfE910TN0QI6ae4dWXI6w,120000,19599191,550,UUcsfE910TN0QI6ae4dWXI6w
Daimler Truck AG,UCl55BYR2SvB2ZyRmV1FadTw,48800,4987800,148,UUl55BYR2SvB2ZyRmV1FadTw
DEUTZ-FAHR (official),UCdNBoJ3ikNyju2zQ6DA1oqw,48400,13681298,579,UUdNBoJ3ikNyju2zQ6DA1oqw
FPT Industrial S.p.A.,UCMK0oBb-d1EaIl5z_wJAI0w,3220,1180164,298,UUMK0oBb-d1EaIl5z_wJAI0w
Freightliner Trucks,UC23nbgfFqMyZXsudoH_PM0Q,18400,6174978,368,UU23nbgfFqMyZXsudoH_PM0Q
